iter	Passed	Remaining
0	64	64375
1	70	35084
2	77	25654
3	83	20864
4	108	21492
5	119	19714
6	125	17772
7	133	16553
8	139	15375
9	147	14610	10	153	13811	163	13448
12	180	13682
13	191	13509
14	200	13134
15	209	12908
16	226	13069
17	237	12975
18	242	12534
19	254	12464
20	261	12190
21	271	12081
22	288	12252
23	301	12260
24	314	12255
25	323	12117
26	338	12204
27	346	12028
28	360	12082
29	368	11909
30	378	11828
31	394	11923
32	403	11824
33	411	11701
34	420	11586
35	427	11459
36	449	11696
37	465	11784
38	484	11947
39	500	12020
40	512	11976
41	521	11885
42	531	11827
43	588	12779
44	604	12833
45	615	12768
46	621	12605
47	634	12586
48	639	12403
49	652	12393
50	665	12380
51	687	12536
52	701	12532
53	712	12475
54	720	12382
55	725	12228
56	733	12133
57	739	12003
58	756	12063
59	767	12026
60	798	12293
61	817	12366
62	827	12301
63	840	12285
64	853	12271
65	871	12332
66	888	12369
67	897	12307
68	910	12286
69	926	12310
70	936	12257
71	951	12270
72	967	12286
73	990	12395
74	1006	12408
75	1019	12400
76	1034	12404
77	1045	12354
78	1055	12306
79	1073	12346
80	1089	12356
81	1098	12302
82	1105	12218
83	1119	12205
84	1136	12229
85	1152	12252
86	1163	12214
87	1168	12110
88	1180	12083
89	1194	12079
90	1208	12070
91	1218	12021
92	1237	12073
93	1246	12013
94	1259	12001
95	1274	12005
96	1292	12035
97	1306	12022
98	1322	12037
99	1335	12019
100	1342	11952
101	1352	11905
102	1365	11888
103	1378	11876
104	1394	11884
105	1407	11868
106	1422	11873
107	1434	11846
108	1447	11829
109	1453	11762
110	1464	11732
111	1476	11705
112	1482	11639
113	1500	11664
114	1516	11671
115	1535	11705
116	1543	11650
117	1556	11636
118	1569	11616
119	1585	11628
120	1588	11540
121	1592	11463
122	1596	11381
123	1602	11320
124	1615	11305
125	1626	11282
126	1638	11263
127	1656	11287
128	1661	11215
129	1671	11188
130	1685	11183
131	1695	11146
132	1707	11128
133	1725	11153
134	1732	11099
135	1748	11105
136	1761	11098
137	1771	11066
138	1782	11038
139	1792	11008
140	1798	10957
141	1806	10916
142	1814	10871
143	1827	10865
144	1836	10830
145	1847	10806
146	1857	10781
147	1867	10752
148	1882	10754
149	1891	10720
150	1903	10701
151	1907	10642
152	1918	10618
153	1924	10573
154	1935	10553
155	1941	10505
156	1950	10473
157	1957	10430
158	1964	10393
159	1974	10365
160	1982	10331
161	1990	10296
162	2000	10273
163	2004	10219
164	2018	10216
165	2030	10200
166	2039	10175
167	2054	10175
168	2059	10127
169	2090	10204
170	2100	10185
171	2121	10212
172	2133	10199
173	2146	10187
174	2159	10178
175	2164	10135
176	2176	10120
177	2191	10118
178	2198	10082
179	2212	10077
180	2219	10044
181	2222	9988
182	2224	9932
183	2227	9877
184	2246	9896
185	2253	9863
186	2258	9817
187	2271	9812
188	2294	9845
189	2309	9843
190	2314	9802
191	2328	9799
192	2339	9782
193	2355	9785
194	2364	9763
195	2375	9742
196	2388	9735
197	2399	9719
198	2413	9712
199	2419	9678
200	2425	9643
201	2435	9619
202	2442	9588
203	2455	9580
204	2476	9605
205	2483	9572
206	2513	9630
207	2528	9626
208	2541	9619
209	2551	9599
210	2561	9576
211	2566	9539
212	2573	9508
213	2582	9484
214	2594	9471
215	2606	9459
216	2613	9429
217	2623	9409
218	2628	9372
219	2635	9342
220	2655	9361
221	2668	9351
222	2676	9325
223	2691	9322
224	2701	9303
225	2705	9264
226	2722	9270
227	2727	9235
228	2737	9215
229	2744	9188
230	2757	9179
231	2766	9157
232	2779	9150
233	2784	9115
234	2795	9099
235	2805	9081
236	2815	9063
237	2822	9037
238	2829	9010
239	2844	9006
240	2850	8977
241	2860	8959
242	2868	8936
243	2884	8938
244	2902	8943
245	2908	8914
246	2911	8876
247	2918	8850
248	2923	8817
249	2938	8814
250	2956	8822
251	2980	8846
252	2993	8837
253	2998	8807
254	3012	8801
255	3025	8793
256	3033	8769
257	3045	8758
258	3052	8734
259	3057	8702
260	3064	8677
261	3074	8659
262	3087	8650
263	3095	8629
264	3104	8610
265	3113	8590
266	3120	8567
267	3128	8545
268	3132	8513
269	3139	8488
270	3148	8469
271	3156	8448
272	3161	8418
273	3167	8391
274	3171	8361
275	3178	8338
276	3188	8323
277	3197	8304
278	3209	8293
279	3220	8280
280	3248	8313
281	3261	8304
282	3273	8293
283	3282	8275
284	3297	8273
285	3312	8268
286	3327	8266
287	3358	8303
288	3372	8296
289	3378	8271
290	3390	8259
291	3399	8242
292	3403	8213
293	3418	8208
294	3431	8200
295	3444	8191
296	3450	8167
297	3458	8147
298	3463	8119
299	3471	8100
300	3478	8078
301	3481	8046
302	3483	8014
303	3486	7981
304	3488	7949
305	3498	7933
306	3509	7923
307	3523	7916
308	3534	7903
309	3540	7879
310	3555	7877
311	3568	7869
312	3580	7858
313	3586	7834
314	3593	7813
315	3600	7794
316	3607	7773
317	3611	7744
318	3620	7729
319	3627	7708
320	3634	7688
321	3643	7672
322	3658	7668
323	3670	7657
324	3678	7640
325	3698	7647
326	3708	7633
327	3719	7620
328	3730	7609
329	3745	7605
330	3756	7592
331	3765	7576
332	3777	7566
333	3783	7545
334	3804	7551
335	3808	7526
336	3815	7506
337	3822	7487
338	3829	7467
339	3848	7471
340	3854	7448
341	3862	7430
342	3877	7427
343	3910	7457
344	3917	7437
345	3929	7427
346	3941	7417
347	3950	7400
348	3957	7381
349	3960	7355
350	3974	7349
351	3988	7342
352	3995	7323
353	4007	7312
354	4020	7305
355	4026	7284
356	4051	7296
357	4060	7282
358	4070	7268
359	4088	7267
360	4099	7256
361	4107	7239
362	4125	7238
363	4134	7223
364	4149	7219
365	4161	7209
366	4188	7224
367	4200	7214
368	4213	7204
369	4220	7186
370	4237	7183
371	4242	7161
372	4256	7155
373	4265	7138
374	4273	7122
375	4281	7105
376	4291	7091
377	4298	7073
378	4307	7058
379	4319	7046
380	4333	7040
381	4342	7024
382	4351	7009
383	4361	6996
384	4376	6991
385	4381	6970
386	4391	6955
387	4402	6943
388	4407	6923
389	4417	6909
390	4449	6930
391	4461	6919
392	4466	6898
393	4470	6876
394	4482	6865
395	4489	6847
396	4498	6832
397	4508	6819
398	4516	6803
399	4536	6804
400	4546	6791
401	4552	6772
402	4562	6758
403	4568	6740
404	4580	6729
405	4593	6720
406	4598	6699
407	4608	6686
408	4614	6667
409	4631	6664
410	4643	6655
411	4660	6651
412	4678	6649
413	4692	6641
414	4700	6626
415	4711	6613
416	4733	6618
417	4740	6600
418	4750	6587
419	4760	6574
420	4771	6562
421	4782	6551
422	4793	6539
423	4808	6532
424	4819	6520
425	4829	6506
426	4842	6497
427	4850	6482
428	4897	6518
429	4900	6496
430	4915	6489
431	4918	6466
432	4924	6449
433	4933	6434
434	4947	6426
435	4962	6419
436	4969	6402
437	4983	6394
438	5006	6397
439	5014	6381
440	5025	6370
441	5032	6353
442	5042	6339
443	5061	6338
444	5070	6324
445	5083	6314
446	5093	6301
447	5102	6286
448	5118	6281
449	5128	6268
450	5138	6254
451	5148	6242
452	5171	6244
453	5192	6244
454	5201	6230
455	5207	6213
456	5217	6199
457	5221	6178
458	5234	6169
459	5243	6155
460	5254	6143
461	5270	6137
462	5283	6127
463	5290	6111
464	5298	6096
465	5303	6077
466	5313	6063
467	5319	6047
468	5359	6068
469	5368	6053
470	5392	6056
471	5407	6049
472	5413	6031
473	5420	6014
474	5430	6002
475	5443	5992
476	5448	5973
477	5457	5960
478	5467	5946
479	5471	5926
480	5477	5910
481	5496	5907
482	5517	5905
483	5525	5890
484	5534	5876
485	5543	5862
486	5548	5844
487	5556	5829
488	5568	5819
489	5579	5807
490	5589	5794
491	5595	5777
492	5606	5766
493	5619	5756
494	5629	5743
495	5637	5728
496	5650	5718
497	5657	5702
498	5668	5690
499	5680	5680
500	5688	5666
501	5700	5655
502	5705	5637
503	5714	5623
504	5722	5608
505	5740	5604
506	5749	5590
507	5756	5575
508	5765	5561
509	5775	5548
510	5789	5540
511	5801	5529
512	5810	5516
513	5825	5508
514	5835	5495
515	5848	5485
516	5861	5476
517	5872	5464
518	5881	5451
519	5894	5441
520	5911	5435
521	5921	5422
522	5937	5415
523	5947	5402
524	5960	5392
525	5973	5382
526	5988	5374
527	6016	5378
528	6021	5361
529	6031	5348
530	6042	5337
531	6057	5328
532	6059	5309
533	6075	5301
534	6082	5287
535	6093	5274
536	6101	5260
537	6111	5248
538	6119	5234
539	6128	5220
540	6135	5205
541	6141	5189
542	6154	5179
543	6168	5170
544	6181	5160
545	6190	5147
546	6198	5133
547	6207	5120
548	6222	5111
549	6229	5096
550	6239	5084
551	6257	5078
552	6267	5065
553	6276	5052
554	6287	5041
555	6300	5031
556	6308	5017
557	6319	5006
558	6323	4988
559	6336	4978
560	6349	4968
561	6362	4958
562	6373	4947
563	6377	4930
564	6382	4913
565	6384	4895
566	6387	4877
567	6390	4860
568	6393	4842
569	6402	4829
570	6411	4816
571	6419	4803
572	6435	4795
573	6451	4787
574	6463	4777
575	6475	4766
576	6484	4753
577	6494	4741
578	6505	4730
579	6517	4719
580	6524	4705
581	6540	4697
582	6551	4685
583	6562	4674
584	6573	4663
585	6589	4655
586	6594	4639
587	6609	4631
588	6621	4620
589	6633	4609
590	6652	4603
591	6666	4594
592	6673	4580
593	6686	4570
594	6692	4555
595	6704	4544
596	6713	4531
597	6720	4517
598	6727	4503
599	6734	4489
600	6745	4478
601	6752	4464
602	6761	4451
603	6768	4437
604	6781	4427
605	6786	4412
606	6842	4430
607	6849	4416
608	6863	4406
609	6870	4392
610	6875	4377
611	6878	4360
612	6883	4345
613	6886	4329
614	6889	4312
615	6892	4296
616	6895	4280
617	6899	4264
618	6902	4248
619	6905	4232
620	6908	4216
621	6913	4201
622	6916	4185
623	6920	4170
624	7049	4229
625	7055	4215
626	7060	4200
627	7066	4185
628	7072	4171
629	7077	4156
630	7081	4141
631	7086	4126
632	7093	4112
633	7104	4101
634	7110	4086
635	7113	4071
636	7118	4056
637	7122	4041
638	7130	4028
639	7138	4015
640	7151	4005
641	7161	3993
642	7168	3980
643	7179	3968
644	7217	3972
645	7229	3961
646	7239	3950
647	7247	3936
648	7269	3931
649	7279	3919
650	7299	3913
651	7304	3898
652	7317	3888
653	7328	3877
654	7338	3865
655	7344	3851
656	7350	3837
657	7365	3828
658	7377	3817
659	7385	3804
660	7400	3795
661	7433	3795
662	7452	3787
663	7466	3778
664	7479	3767
665	7484	3753
666	7494	3741
667	7512	3733
668	7521	3721
669	7538	3712
670	7548	3701
671	7564	3692
672	7568	3677
673	7582	3667
674	7608	3663
675	7621	3652
676	7632	3641
677	7639	3628
678	7644	3613
679	7654	3601
680	7689	3601
681	7701	3590
682	7709	3578
683	7719	3566
684	7726	3553
685	7736	3541
686	7749	3530
687	7757	3517
688	7766	3505
689	7775	3493
690	7783	3480
691	7798	3470
692	7808	3458
693	7817	3446
694	7822	3432
695	7833	3421
696	7842	3409
697	7855	3398
698	7927	3413
699	7933	3400
700	7936	3385
701	7938	3370
702	7941	3355
703	7944	3340
704	7946	3325
705	7949	3310
706	7952	3295
707	7955	3281
708	7958	3266
709	7960	3251
710	8013	3257
711	8025	3246
712	8033	3233
713	8045	3222
714	8049	3208
715	8055	3195
716	8063	3182
717	8073	3171
718	8077	3156
719	8082	3143
720	8090	3130
721	8095	3117
722	8099	3102
723	8102	3088
724	8105	3074
725	8113	3062
726	8118	3048
727	8122	3034
728	8127	3021
729	8134	3008
730	8195	3015
731	8203	3003
732	8213	2991
733	8217	2977
734	8228	2966
735	8239	2955
736	8241	2941
737	8244	2927
738	8247	2912
739	8249	2898
740	8251	2884
741	8254	2870
742	8256	2855
743	8259	2841
744	8262	2828
745	8269	2815
746	8278	2803
747	8300	2796
748	8313	2785
749	8327	2775
750	8340	2765
751	8354	2755
752	8385	2750
753	8398	2740
754	8410	2729
755	8416	2716
756	8427	2705
757	8442	2695
758	8456	2685
759	8464	2673
760	8479	2663
761	8497	2654
762	8507	2642
763	8515	2630
764	8524	2618
765	8532	2606
766	8542	2594
767	8558	2585
768	8562	2572
769	8570	2560
770	8586	2550
771	8589	2536
772	8606	2527
773	8611	2514
774	8618	2502
775	8623	2489
776	8632	2477
777	8641	2465
778	8648	2453
779	8658	2442
780	8660	2428
781	8663	2415
782	8665	2401
783	8668	2388
784	8670	2374
785	8673	2361
786	8676	2348
787	8684	2336
788	8692	2324
789	8703	2313
790	8710	2301
791	8722	2290
792	8731	2279
793	8738	2267
794	8747	2255
795	8752	2243
796	8762	2231
797	8769	2219
798	8778	2208
799	8784	2196
800	8793	2184
801	8796	2171
802	8799	2158
803	8803	2146
804	8809	2133
805	8814	2121
806	8820	2109
807	8824	2096
808	8828	2084
809	8831	2071
810	8833	2058
811	8840	2046
812	8848	2035
813	8857	2024
814	8870	2013
815	8877	2001
816	8885	1990
817	8890	1978
818	8902	1967
819	8907	1955
820	8909	1942
821	8912	1929
822	8914	1917
823	8917	1904
824	8919	1891
825	8921	1879
826	8923	1866
827	8926	1854
828	8931	1842
829	8936	1830
830	8943	1818
831	8946	1806
832	8955	1795
833	8960	1783
834	8965	1771
835	8971	1760
836	8980	1748
837	8984	1736
838	8988	1724
839	8995	1713
840	9001	1701
841	9009	1690
842	9018	1679
843	9026	1668
844	9031	1656
845	9036	1645
846	9040	1633
847	9045	1621
848	9047	1609
849	9052	1597
850	9058	1585
851	9061	1574
852	9070	1563
853	9074	1551
854	9092	1542
855	9098	1530
856	9103	1518
857	9106	1507
858	9120	1497
859	9134	1487
860	9141	1475
861	9150	1464
862	9159	1454
863	9165	1442
864	9168	1430
865	9171	1419
866	9174	1407
867	9177	1395
868	9179	1383
869	9182	1372
870	9184	1360
871	9192	1349
872	9196	1337
873	9199	1326
874	9203	1314
875	9207	1303
876	9215	1292
877	9219	1281
878	9226	1270
879	9230	1258
880	9235	1247
881	9242	1236
882	9253	1226
883	9260	1215
884	9269	1204
885	9277	1193
886	9284	1182
887	9293	1172
888	9302	1161
889	9312	1151
890	9321	1140
891	9324	1128
892	9328	1117
893	9337	1107
894	9339	1095
895	9344	1084
896	9349	1073
897	9355	1062
898	9358	1051
899	9361	1040
900	9367	1029
901	9371	1018
902	9379	1007
903	9384	996
904	9389	985
905	9397	975
906	9402	964
907	9416	954
908	9423	943
909	9428	932
910	9431	921
911	9438	910
912	9443	899
913	9449	889
914	9453	878
915	9457	867
916	9461	856
917	9464	845
918	9469	834
919	9473	823
920	9477	812
921	9480	802
922	9485	791
923	9489	780
924	9492	769
925	9494	758
926	9500	748
927	9504	737
928	9508	726
929	9511	715
930	9516	705
931	9521	694
932	9526	684
933	9531	673
934	9534	662
935	9539	652
936	9547	641
937	9556	631
938	9560	621
939	9566	610
940	9568	599
941	9572	589
942	9576	578
943	9581	568
944	9585	557
945	9589	547
946	9592	536
947	9596	526
948	9601	516
949	9606	505
950	9610	495
951	9613	484
952	9615	474
953	9617	463
954	9620	453
955	9622	442
956	9625	432
957	9627	422
958	9629	411
959	9631	401
960	9634	390
961	9636	380
962	9640	370
963	9647	360
964	9650	350
965	9653	339
966	9657	329
967	9660	319
968	9662	309
969	9665	298
970	9667	288
971	9670	278
972	9673	268
973	9675	258
974	9677	248
975	9680	238
976	9682	227
977	9684	217
978	9687	207
979	9690	197
980	9693	187
981	9695	177
982	9697	167
983	9699	157
984	9701	147
985	9704	137
986	9706	127
987	9709	117
988	9711	108
989	9713	98
990	9716	88
991	9719	78
992	9722	68
993	9724	58
994	9727	48
995	9729	39
996	9731	29
997	9737	19
998	9741	9
999	9744	0
